"10.0.D68.202,""Иммунограмма расширенная (CD3, CD3/4, CD3/8, CD19, CD16/56, CD3/16/56, CD3/HLA-DR, CD3/25, CD3/95, CD3/4/95, CD3/8/95, CD3/8/38, лейкоцитарно-Т-ЛФ индекс, иммунорегуляторный индекс.Включает ОАК с лейкоцитарной формулой)"",кол.,25,4,7445,Иммунограмма расширенная,,test_immunogramma_rasshirennaya_cd3_cd3_4_cd3_8_cd19_cd16_56_cd3_16_56_cd3_hla_dr_cd3_25_cd3_95,100";;;;;;;;
10.0.D7.202,Сокращенная панель CD4/CD8 (включает клинический анализ крови с лейкоцитарной формулой (5DIFF)),кол.,25,4,2830,Сокращенная панель CD4/CD8),,test_sokraschennaya_panel_cd4_cd8_vklyuchaet_klinicheskiy_analiz_krovi_s_leykotsitarnoy_formulo,100;;;;;;;;
"10.0.D72,""Клетки памяти и наивные CD4 лимфоциты и их соотношение (CD3/CD4/45RO+, CD3/CD4/45RA+, индекс 45RO+/45RA+. Включает анализ крови с лейкоцитарной формулой)"",кол.,25,5,5740,""лимфоциты кровь, LYM, Клетки памяти и наивные CD4 лимфоциты и их соотношение"",,test_kletki_pamyati_i_naivnye_cd4_limfotsity_i_ih_sootnoshenie_cd3_cd4_45ro_cd3_cd4_45ra_indeks,100";;;;;;;;
10.0.D73,В1-клетки CD5/CD19 (включает анализ крови с лейкоцитарной формулой),кол.,25,5,2935,В1-клетки CD5/CD19,,test_v1_kletki_cd5_cd19_vklyuchaet_analiz_krovi_s_leykotsitarnoy_formuloy,100;;;;;;;;
"10.0.D75,""T-SPOT детский (инфицирование М. tuberculosis), (дети до 12 лет)"",п/кол.,25,3,10100,T-SPOT детский,,test_t_spot_detskiy_infitsirovanie_m_tuberculosis_deti_do_12_let,100";;;;;;;;
"10.0.D76,""T-SPOT (инфицирование M. tuberculosis), (дети старше 12 лет и взрослые)"",п/кол.,25,3,10100,T-SPOT,,test_t_spot_infitsirovanie_m_tuberculosis_deti_starshe_12_let_i_vzroslye,100";;;;;;;;
"10.0.D8.204,Бактерицидная активность крови (BURST),п/кол.,25,8,5875,""Бактерицидная активность крови, BURST"",,test_bakteritsidnaya_aktivnost_krovi_burst,100";;;;;;;;
"10.0.D9.202,""Иммунограмма скрининг (CD3, CD19, CD16/56. Включает анализ крови с лейкоцитарной формулой)"",кол.,25,4,2830,""Иммунограмма скрининг, CD3, CD19, CD16"",,test_immunogramma_skrining_cd3_cd19_cd16_56_vklyuchaet_analiz_krovi_s_leykotsitarnoy_formuloy,100";;;;;;;;
10.1.A2.201,Интерлейкин-1b,кол.,25,7,2590,,,test_interleykin_1b,100;;;;;;;;
10.1.A3.201,Интерлейкин-8,кол.,25,7,2590,,,test_interleykin_8,100;;;;;;;;
10.1.A4.201,Интерлейкин-10,кол.,25,7,2590,,,test_interleykin_10,100;;;;;;;;
"10.1.D3,""Ингибитор C1-эстеразы (фактор C1-INH комплемента), концентрация"",кол.,25,9,3530,""Ингибитор C1-эстеразы, концентрация, фактор C1-INH комплемента"",,test_ingibitor_c1_esterazy_faktor_c1_inh_komplementa_kontsentratsiya,100";;;;;;;;
"10.2.D3,""TB-Ферон тест (IGRA- тест, диагностика туберкулеза)"",кач.,25,10,6330,""TB-Ферон тест, IGRA- тест, диагностика туберкулеза"",,test_tb_feron_test_igra_test_diagnostika_tuberkuleza,100";;;;;;;;
"10.2.D4,Количественное определение ДНК TREC и KREC (диагностика наследственных Т- и В-клеточных иммунодефицитов),кол.,25,11,7170,""Количественное определение ДНК TREC и KREC, ДНК TREC и KREC, ПЦР TREC и KREC, TREC и KREC ПЦР"",,test_kolichestvennoe_opredelenie_dnk_trec_i_krec_diagnostika_nasledstvennyh_t_i_v_kletochnyh_im,100";;;;;;;;
10.2.D5,Квантифероновый тест TB Gold Plus,кач.,25,7,10380,,,test_kvantiferonovyy_test_tb_gold_plus,100;;;;;;;;
10.5.A6,Чувствительность к Цитовиру-3,п/кол.,25,14,720,,,test_chuvstvitelnost_k_tsitoviru_3,100;;;;;;;;
10.5.A7,Чувствительность к Аллокину-альфа,п/кол.,25,14,720,,,test_chuvstvitelnost_k_allokinu_alfa,100;;;;;;;;
10.5.A8,Чувствительность к Арбидолу,п/кол.,25,14,720,,,test_chuvstvitelnost_k_arbidolu,100;;;;;;;;
10.6.A11,Чувствительность к Панавиру,п/кол.,25,14,720,,,test_chuvstvitelnost_k_panaviru,100;;;;;;;;
10.6.A12,Чувствительность к Изопринозину,п/кол.,25,14,720,,,test_chuvstvitelnost_k_izoprinozinu,100;;;;;;;;
"11.1.38.D1,""Антитела к хеликобактеру (Helicobacter pylori), иммуноблот, IgG"",кол.,25,7,3230,""Helicobacter pylori, H. pylori, хеликобактер пилори, IgG к хеликобактеру, иммуноглобулин G к хеликобактеру, Антитела к хеликобактеру, иммуноблот, IgG, антитела хеликобактеру (Helicobacter pylori), IGG к хеликобактеру (Helicobacter pylori), антитела к хеликобактеру (Helicobacter pylori) IGG"",,test_antitela_k_helikobakteru_helicobacter_pylori_immunoblot_igg,100";;;;;;;;
"11.1.A1.201,""Антитела к вирусу гепатита А, IgM (Anti-HAV IgM)"",п/кол.,25,1,1320,""IgM к вирусу гепатита А, иммуноглобулин M к вирусу гепатита А, Антитела к вирусу гепатита А, IgM, Anti-HAV IgM, антитела вирусу гепатита А"",,test_antitela_k_virusu_gepatita_a_igm_anti_hav_igm,100";;;;;;;;
"11.1.A2.201,""Антитела к вирусу гепатита А, IgG (Anti-HAV IgG)"",п/кол.,25,1,1050,""IgG к вирусу гепатита А, иммуноглобулин G к вирусу гепатита А, Антитела к вирусу гепатита А, IgG, Anti-HAV IgG, антитела вирусу гепатита А"",,test_antitela_k_virusu_gepatita_a_igg_anti_hav_igg,100";;;;;;;;
"11.10.A1.201,""Антитела к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IgM"",кач.,25,1,915,""ВЭБ, EBV, инфекционный мононуклеоз, IgM к капсидному антигену вируса Эпштейна-Барр, иммуноглобулин M к капсидному антигену вируса Эпштейна-Барр, Антитела к капсидному антигену вируса Эпштейна-Барр, IgM, Epstein-Barr virus VCA, антитела капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IGM к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA)"",,test_antitela_k_kapsidnomu_antigenu_virusa_epshteyna_barr_epstein_barr_virus_vca_igm,100";;;;;;;;
"11.10.A2.201,""Антитела к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IgG"",п/кол.,25,1,1030,""ВЭБ, EBV, инфекционный мононуклеоз, IgG к капсидному антигену вируса Эпштейна-Барр, иммуноглобулин G к капсидному антигену вируса Эпштейна-Барр, Антитела к капсидному антигену вируса Эпштейна-Барр, IgG, Epstein-Barr virus VCA, антитела капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IGG к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA)"",,test_antitela_k_kapsidnomu_antigenu_virusa_epshteyna_barr_epstein_barr_virus_vca_igg,100";;;;;;;;
"11.10.A7.201,""Антитела к ядерному антигену вируса Эпштейна-Барр (Epstein-Barr virus EBNA), IgG"",п/кол.,25,1,935,""ВЭБ, EBV, инфекционный мононуклеоз, IgG к ядерному антигену вируса Эпштейна-Барр, иммуноглобулин G к ядерному антигену вируса Эпштейна-Барр, Антитела к ядерному антигену вируса Эпштейна-Барр, IgG, Epstein-Barr virus EBNA, антитела ядерному антигену вируса Эпштейна-Барр (Epstein-Barr virus EBNA), IGG к ядерному антигену вируса Эпштейна-Барр (Epstein-Barr virus EBNA)"",,test_antitela_k_yadernomu_antigenu_virusa_epshteyna_barr_epstein_barr_virus_ebna_igg,100";;;;;;;;
"11.10.A8.201,""Антитела к раннему антигену вируса Эпштейна-Барр (Epstein-Barr virus EA), IgG"",кол.,25,3,1050,""ВЭБ, EBV, инфекционный мононуклеоз, IgG к раннему антигену вируса Эпштейна-Барр, иммуноглобулин G к раннему антигену вируса Эпштейна-Барр, Антитела к раннему антигену вируса Эпштейна-Барр, IgG, Epstein-Barr virus EA, антитела раннему антигену вируса Эпштейна-Барр (Epstein-Barr virus EA), IGG к раннему антигену вируса Эпштейна-Барр (Epstein-Barr virus EA)"",,test_antitela_k_rannemu_antigenu_virusa_epshteyna_barr_epstein_barr_virus_ea_igg,100";;;;;;;;
"11.10.D1.201,""Антитела к вирусу Эпштейна-Барр (Epstein-Barr virus), IgM (иммуноблот)"",кач.,25,3,4205,""ВЭБ, EBV, инфекционный мононуклеоз, IgM к вирусу Эпштейна-Барр, иммуноглобулин M к вирусу Эпштейна-Барр, Антитела к вирусу Эпштейна-Барр, IgM, антитела вирусу Эпштейна-Барр (Epstein-Barr virus), IGM к вирусу Эпштейна-Барр (Epstein-Barr virus), антитела к вирусу Эпштейна-Барр (Epstein-Barr virus) IGM"",,test_antitela_k_virusu_epshteyna_barr_epstein_barr_virus_igm_immunoblot,100";;;;;;;;
"11.10.D2.201,""Антитела к вирусу Эпштейна-Барр (Epstein-Barr virus), IgG (иммуноблот)"",кач.,25,3,4205,""ВЭБ, EBV, инфекционный мононуклеоз, IgG к вирусу Эпштейна-Барр, иммуноглобулин G к вирусу Эпштейна-Барр, Антитела к вирусу Эпштейна-Барр, IgG, антитела вирусу Эпштейна-Барр (Epstein-Barr virus), IGG к вирусу Эпштейна-Барр (Epstein-Barr virus), антитела к вирусу Эпштейна-Барр (Epstein-Barr virus) IGG"",,test_antitela_k_virusu_epshteyna_barr_epstein_barr_virus_igg_immunoblot,100";;;;;;;;
"11.11.A1.201,""Антитела к вирусу краснухи, IgM"",п/кол.,25,1,1040,""rubella, вирус краснухи, IgM к вирусу краснухи, иммуноглобулин M к вирусу краснухи, антитела вирусу краснухи"",,test_antitela_k_virusu_krasnuhi_igm,100";;;;;;;;
"11.11.A2.201,""Антитела к вирусу краснухи, IgG"",кол.,25,1,815,""rubella, вирус краснухи, IgG к вирусу краснухи, иммуноглобулин G к вирусу краснухи, антитела вирусу краснухи"",,test_antitela_k_virusu_krasnuhi_igg,100";;;;;;;;
"11.11.D1.201,""Антитела к вирусу краснухи, IgG (иммуноблот)"",кач.,25,3,6345,""rubella, вирус краснухи, IgG к вирусу краснухи, иммуноглобулин G к вирусу краснухи, Антитела к вирусу краснухи, IgG, антитела вирусу краснухи"",,test_antitela_k_virusu_krasnuhi_igg_immunoblot,100";;;;;;;;
"11.12.A2.201,""Антитела к вирусу кори, IgG"",кол.,25,2,1210,""IgG к вирусу кори, иммуноглобулин G к вирусу кори, антитела вирусу кори"",,test_antitela_k_virusu_kori_igg,100";;;;;;;;
"11.13.A1.201,""Антитела к вирусу эпидемического паротита, IgМ"",п/кол.,25,5,1135,""анализ на антитела к вирусу эпидемического паротита, IgМ, антитела вирусу эпидемического паротита"",,test_antitela_k_virusu_epidemicheskogo_parotita_igm,100";;;;;;;;
"11.13.A2.201,""Антитела к вирусу эпидемического паротита, IgG"",п/кол.,25,5,1135,""IgG к вирусу эпидемического паротита, иммуноглобулин G к вирусу эпидемического паротита, антитела вирусу эпидемического паротита"",,test_antitela_k_virusu_epidemicheskogo_parotita_igg,100";;;;;;;;
"11.14.A1.201,""Антитела к хеликобактеру (Helicobacter pylori), IgG"",кол.,25,1,910,""Helicobacter pylori, H. pylori, хеликобактер пилори, IgG к хеликобактеру, иммуноглобулин G к хеликобактеру, Антитела к хеликобактеру, IgG, антитела хеликобактеру (Helicobacter pylori), IGG к хеликобактеру (Helicobacter pylori)"",,test_antitela_k_helikobakteru_helicobacter_pylori_igg,100";;;;;;;;
"11.14.A2.201,""Антитела к хеликобактеру (Helicobacter pylori), IgA"",п/кол.,25,8,1205,""Helicobacter pylori, H. pylori, хеликобактер пилори, IgA к хеликобактеру, иммуноглобулин A к хеликобактеру, Антитела к хеликобактеру, IgA, антитела хеликобактеру (Helicobacter pylori), IGA к хеликобактеру (Helicobacter pylori)"",,test_antitela_k_helikobakteru_helicobacter_pylori_iga,100";;;;;;;;
"11.14.A3.201,""Антитела к хеликобактеру (Helicobacter pylori), IgМ"",кач.,25,8,1185,""Helicobacter pylori, H. pylori, хеликобактер пилори, анализ на антитела к хеликобактеру, IgМ, Антитела к хеликобактеру, IgМ, антитела хеликобактеру (Helicobacter pylori)"",,test_antitela_k_helikobakteru_helicobacter_pylori_igm,100";;;;;;;;
"11.15.A1.201,""Антитела к хламидии (Chlamydia trachomatis), IgA"",п/кол.,25,3,970,""chlamydia, хламидиоз, IgA к хламидии, иммуноглобулин A к хламидии, Антитела к хламидии, IgA, антитела хламидии (Chlamydia trachomatis), IGA к хламидии (Chlamydia trachomatis)"",,test_antitela_k_hlamidii_chlamydia_trachomatis_iga,100";;;;;;;;
"11.15.A2.201,""Антитела к хламидии (Chlamydia trachomatis), IgM"",п/кол.,25,3,910,""chlamydia, хламидиоз, IgM к хламидии, иммуноглобулин M к хламидии, Антитела к хламидии, IgM, антитела хламидии (Chlamydia trachomatis), IGM к хламидии (Chlamydia trachomatis)"",,test_antitela_k_hlamidii_chlamydia_trachomatis_igm,100";;;;;;;;
"11.15.A3.201,""Антитела к хламидии (Chlamydia trachomatis), IgG"",п/кол.,25,3,985,""chlamydia, хламидиоз, IgG к хламидии, иммуноглобулин G к хламидии, Антитела к хламидии, IgG, антитела хламидии (Chlamydia trachomatis), IGG к хламидии (Chlamydia trachomatis)"",,test_antitela_k_hlamidii_chlamydia_trachomatis_igg,100";;;;;;;;
"11.15.A4.201,""Антитела к хламидофиле (Chlamydophila pneumoniae), IgА"",п/кол.,25,3,970,""chlamydia, хламидиоз, анализ на антитела к хламидофиле, IgА, Антитела к хламидофиле, IgА, антитела хламидофиле (Chlamydophila pneumoniae), IGА к хламидофиле (Chlamydophila pneumoniae)"",,test_antitela_k_hlamidofile_chlamydophila_pneumoniae_iga,100";;;;;;;;
"11.15.A5.201,""Антитела к хламидофиле (Chlamydophila pneumoniae), IgM"",п/кол.,25,3,875,""chlamydia, хламидиоз, IgM к хламидофиле, иммуноглобулин M к хламидофиле, Антитела к хламидофиле, IgM, антитела хламидофиле (Chlamydophila pneumoniae), IGM к хламидофиле (Chlamydophila pneumoniae)"",,test_antitela_k_hlamidofile_chlamydophila_pneumoniae_igm,100";;;;;;;;
"11.15.A6.201,""Антитела к хламидофиле (Chlamydophila pneumoniae), IgG"",п/кол.,25,3,875,""chlamydia, хламидиоз, IgG к хламидофиле, иммуноглобулин G к хламидофиле, Антитела к хламидофиле, IgG, антитела хламидофиле (Chlamydophila pneumoniae), IGG к хламидофиле (Chlamydophila pneumoniae)"",,test_antitela_k_hlamidofile_chlamydophila_pneumoniae_igg,100";;;;;;;;
"11.15.A8,""Антитела к белку теплового шока Chlamydia trachomatis (Anti-cHSP60), IgG"",кач.,25,9,1090,""IgG к белку теплового шока Chlamydia trachomatis, иммуноглобулин G к белку теплового шока Chlamydia trachomatis, Антитела к белку теплового шока Chlamydia trachomatis, IgG, Anti-cHSP60, антитела белку теплового шока Chlamydia trachomatis (Anti-cHSP60), IGG к белку теплового шока Chlamydia trachomatis (Anti-cHSP60)"",,test_antitela_k_belku_teplovogo_shoka_chlamydia_trachomatis_anti_chsp60_igg,100";;;;;;;;
"11.16.A1.201,""Антитела к микоплазме (Mycoplasma hominis), IgА"",п/кол.,25,3,1005,""mycoplasma, микоплазмоз, анализ на антитела к микоплазме, IgА, Антитела к микоплазме, IgА, антитела микоплазме (Mycoplasma hominis), IGА к микоплазме (Mycoplasma hominis)"",,test_antitela_k_mikoplazme_mycoplasma_hominis_iga,100";;;;;;;;
"11.16.A3.201,""Антитела к микоплазме (Mycoplasma hominis), IgG"",п/кол.,25,3,775,""mycoplasma, микоплазмоз, IgG к микоплазме, иммуноглобулин G к микоплазме, Антитела к микоплазме, IgG, антитела микоплазме (Mycoplasma hominis), IGG к микоплазме (Mycoplasma hominis)"",,test_antitela_k_mikoplazme_mycoplasma_hominis_igg,100";;;;;;;;
"11.16.A4.201,""Антитела к микоплазме (Mycoplasma pneumoniae), IgА"",п/кол.,25,3,840,""mycoplasma, микоплазмоз, анализ на антитела к микоплазме, IgА, Антитела к микоплазме, IgА, антитела микоплазме (Mycoplasma pneumoniae), IGА к микоплазме (Mycoplasma pneumoniae)"",,test_antitela_k_mikoplazme_mycoplasma_pneumoniae_iga,100";;;;;;;;
"11.16.A5.201,""Антитела к микоплазме (Mycoplasma pneumoniae), IgG"",п/кол.,25,3,860,""mycoplasma, микоплазмоз, IgG к микоплазме, иммуноглобулин G к микоплазме, Антитела к микоплазме, IgG, антитела микоплазме (Mycoplasma pneumoniae), IGG к микоплазме (Mycoplasma pneumoniae)"",,test_antitela_k_mikoplazme_mycoplasma_pneumoniae_igg,100";;;;;;;;
"11.16.A6.201,""Антитела к микоплазме (Mycoplasma pneumoniae), IgM"",кач.,25,3,830,""mycoplasma, микоплазмоз, IgM к микоплазме, иммуноглобулин M к микоплазме, Антитела к микоплазме, IgM, антитела микоплазме (Mycoplasma pneumoniae), IGM к микоплазме (Mycoplasma pneumoniae)"",,test_antitela_k_mikoplazme_mycoplasma_pneumoniae_igm,100";;;;;;;;
"11.17.A1.201,""Антитела к уреаплазме (Ureaplasma urealyticum), IgА"",п/кол.,25,3,930,""ureaplasma, уреаплазмоз, анализ на антитела к уреаплазме, IgА, Антитела к уреаплазме, IgА, антитела уреаплазме (Ureaplasma urealyticum), IGА к уреаплазме (Ureaplasma urealyticum)"",,test_antitela_k_ureaplazme_ureaplasma_urealyticum_iga,100";;;;;;;;
"11.17.A3.201,""Антитела к уреаплазме (Ureaplasma urealyticum), IgG"",п/кол.,25,3,930,""ureaplasma, уреаплазмоз, IgG к уреаплазме, иммуноглобулин G к уреаплазме, Антитела к уреаплазме, IgG, антитела уреаплазме (Ureaplasma urealyticum), IGG к уреаплазме (Ureaplasma urealyticum)"",,test_antitela_k_ureaplazme_ureaplasma_urealyticum_igg,100";;;;;;;;
